question,answer
財報是什麼?,"財報是公司定期發布的財務報表,包括資產負債表、損益表和現金流量表等,反映公司的財務狀況和經營成果。"
財報有哪些主要組成部分?,財報主要包括三大報表:資產負債表(反映財務狀況)、損益表(反映經營成果)和現金流量表(反映現金流動情況)。
如何判斷一家公司的盈利能力?,可以通過分析損益表中的營業收入、毛利率、營業利潤率等指標來判斷公司的盈利能力。
什麼是每股盈餘(EPS)?,"每股盈餘是公司稅後淨利除以流通在外的普通股股數,反映公司為每股股票創造的利潤。"
如何計算本益比(P/E ratio)?,"本益比等於股價除以每股盈餘,反映投資者願意為每1元盈餘支付的價格。"
什麼是負債比率?,"負債比率是總負債除以總資產,反映公司的財務槓桿和風險水平。"
如何判斷公司的償債能力?,可以通過分析流動比率、速動比率等指標來判斷公司的短期償債能力。
什麼是自由現金流?,"自由現金流是公司經營活動產生的現金流量減去資本支出,反映公司可自由支配的現金。"
財報中的備註有什麼用?,"備註提供了財務數據的詳細說明和補充信息,有助於更全面地了解公司財務狀況。"
如何判斷財報數據的可靠性?,"可以關注審計意見、重大會計政策變更,並與同行業公司進行對比分析。"
什麼是資產周轉率?,"資產周轉率是營業收入除以平均總資產,反映公司利用資產創造收入的效率。"
毛利率和淨利率有什麼區別?,"毛利率是毛利潤除以營業收入,反映產品的獲利能力;淨利率是淨利潤除以營業收入,反映公司整體的盈利能力。"
什麼是應收帳款周轉率?,"應收帳款周轉率是營業收入除以平均應收帳款,反映公司收回應收帳款的速度和效率。"
財報中的非經常性項目是什麼?,"非經常性項目是不常發生或與公司主要業務無關的收支項目,如資產處置收益或損失等。"
什麼是股東權益報酬率(ROE)?,"股東權益報酬率是淨利潤除以平均股東權益,反映公司運用股東投入資本的獲利能力。"
如何判斷公司的成長性?,可以通過分析營業收入增長率、淨利潤增長率等指標來判斷公司的成長性。
什麼是現金流量表中的經營活動現金流?,"經營活動現金流反映公司主營業務產生的現金流入和流出,是判斷公司經營質量的重要指標。"
財報中的商譽是什麼?,商譽是公司收購其他公司時支付的價格超過被收購公司可辨認淨資產公允價值的部分。
什麼是每股淨資產?,"每股淨資產是股東權益除以流通在外的普通股股數,反映每股股票所代表的公司淨資產。"
如何解讀財報中的分部信息?,"分部信息提供了公司不同業務部門或地區的經營情況,有助於了解各業務線的表現和公司的多元化程度。"
什麼是資產周轉率?,"資產周轉率是營業收入除以平均總資產,反映公司利用資產創造收入的效率。"
毛利率和淨利率有什麼區別?,"毛利率是毛利潤除以營業收入,反映產品的獲利能力;淨利率是淨利潤除以營業收入,反映公司整體的盈利能力。"
什麼是應收帳款周轉率?,"應收帳款周轉率是營業收入除以平均應收帳款,反映公司收回應收帳款的速度和效率。"
財報中的非經常性項目是什麼?,"非經常性項目是不常發生或與公司主要業務無關的收支項目,如資產處置收益或損失等。"
什麼是股東權益報酬率(ROE)?,"股東權益報酬率是淨利潤除以平均股東權益,反映公司運用股東投入資本的獲利能力。"
如何判斷公司的成長性?,可以通過分析營業收入增長率、淨利潤增長率等指標來判斷公司的成長性。
什麼是現金流量表中的經營活動現金流?,"經營活動現金流反映公司主營業務產生的現金流入和流出,是判斷公司經營質量的重要指標。"
財報中的商譽是什麼?,"在會計上，商譽是用來記錄企業去收購另一家公司時，所付出的溢價，就稱為商譽(Goodwill)，在併購時，己方所付出金額超過併購企業上的資產負債表的資產金額，為了平衡資產負債表上的紀錄，因此多了商譽這個欄位。

之所以付出此溢價，背後的原因包括了顧客名單、公司名聲、技術等等附加價值，收購時買賣雙方都認為未來企業能創造比目前資產負債表上更大的價值，

這些無形資產也無法直接變現、賣掉換錢，因此商譽也是一種無形資產。"
什麼是每股淨資產?,"每股淨資產是股東權益除以流通在外的普通股股數,反映每股股票所代表的公司淨資產。"
如何解讀財報中的分部信息?,"分部信息提供了公司不同業務部門或地區的經營情況,有助於了解各業務線的表現和公司的多元化程度。"
