code,name,suppliers,competitor,customers,reinvestment,invested,strategic_alliance
6125,廣運(6125),"['JinkoSolar Middle East', 'Retek Semiconductor', '大毅']","['建準', '盟立', '奇鋐', '雙鴻', '陽程', '均豪', '高僑', '東捷', '大拓-KY']","['DHL', '台北捷運', '全聯', '蝦皮', '京東方Ａ', '中國旺旺', 'Corning', 'Coca-Cola', 'Micron', '統一', '台塑', '聯電', '友達', '宅配通', '日月光投控', '誠美材', '富邦媒']",['太極'],[],[]
2478,大毅(2478),[],"['6597立誠', '風華高科', '振華科技', 'Kyocera', 'TAIYO YUDEN', 'Murata Mfg.', 'KOA', '台達電', '國巨', '華新科', '光頡', '信昌電', '聚鼎', '同欣電', '天二科技']","['Gogoro', 'Mobileye(以)', 'OPPO', 'Samsung Display', '華為', '中興通訊', '美的集團', '京東方Ａ', '比亞迪', 'LG', 'SAMSUNG ELEC', '聯想集團', '小米集團－Ｗ', '富智康集團', '商絡電子', 'Panasonic', 'Sharp', 'SONY', 'Aisin Seiki', 'Nintendo', 'Garmin', 'HP', 'LG Display (ADR)', '光寶科', '台達電', '鴻海', '宏��', '華碩', '廣達', '友達', '緯創', '群創', '廣運', '博大']",[],[],[]
2421,建準(2421),"['6720久昌', '安力-KY']","['6591動力-KY', 'LG INNOTEK', '超頻三', 'MINEBEA MITSUMI', 'Sanyo Denki', 'Nidec', '台達電', '凱美', '奇鋐', '協禧', '力致', '曜越', '廣運', '元山', '動力-KY']","['Arris', 'JARGUAR', 'Zaptec(挪)', '華為', '浪潮信息', '海康威視', 'SAMSUNG ELEC', '騰訊控股', '聯想集團', '比亞迪股份', '中科曙光', 'TOYOTA MOTOR', '百度集團－ＳＷ', '阿里巴巴－ＳＷ', 'Apple', 'Amazon', 'BMW', 'Cisco', 'Dell', 'Ericsson', 'Alphabet - Class A', 'HP', 'Intel', 'Meta', 'Microsoft', 'NVIDIA', 'Philips', 'Super Micro Computer', 'Tesla', '台達電', '宏��', '英業達', '華碩', '技嘉', '廣達', '研華', '三顧', '智易', '營邦', '中光電', '中磊']",[],[],[]
2464,盟立(2464),"['HP', 'Micron', 'NXP Semiconductors']","['Robostar', 'PAMTEK', 'DAIFUKU', 'Yaskawa Electric', 'Denso', 'FANUC', '上銀', '鴻海', '陽程', '均豪', '廣運', '高僑', '群翊', '鏵友益', '東捷', '大拓-KY']","['京東方Ａ', '友達', '全家']",[],[],[]
3017,奇鋐(3017),"['陞達科技', '安力-KY']","['6495納諾*-KY', '6831邁科', '超頻三', 'Furukawa Electric', 'Fujikura', 'MINEBEA MITSUMI', 'Sanyo Denki', 'Nidec', '台達電', '鴻準', '凱美', '建準', '偉訓', '協禧', '雙鴻', '泰碩', '力致', '曜越', '營邦', '業強', '廣運', '尼得科超眾', '元山', '安鈦克', '動力-KY', '保銳', '勤誠']","['華為', '聯想集團', 'Amazon', 'Cisco', 'Dell', 'Alphabet - Class A', 'Intel', 'Meta', 'Microsoft', 'NVIDIA', 'Super Micro Computer']",['富世達'],['Furukawa Electric'],[]
3324,雙鴻(3324),"['安力-KY', '業強']","['6495納諾*-KY', '6831邁科', 'Furukawa Electric', 'Fujikura', '台達電', '鴻準', '奇鋐', '泰碩', '力致', '曜越', '廣運', '尼得科超眾']","['OPPO', 'VIVO', 'Volvo', '華為', 'Hyundai Motor', 'SAMSUNG ELEC', '聯想集團', '小米集團－Ｗ', 'Apple', 'AMD', 'Amazon', 'Dell', 'General Motors', 'Alphabet - Class A', 'HP', 'Intel', 'Lucid Group', 'Meta', 'Microsoft', 'NVIDIA', 'Super Micro Computer', '鴻海', '仁寶', '台積電', '宏��', '英業達', '華碩', '技嘉', '微星', '廣達', '緯創', '和碩', '緯穎']",[],[],[]
3498,陽程(3498),[],"['鴻富瀚', '盟立', '廣運', '高僑', '迅得']",['鴻海'],[],['鴻海'],[]
5443,均豪(5443),[],"['4537旭東', '6425易發', 'HANSONG NEOTECH', 'Shibaura Mechatronics', 'FANUC', 'KULICKE AND SOFFA', '上銀', '鴻海', '盟立', '志聖', '晶彩科', '廣運', '高僑', '易發', '群翊', '鏵友益']","['台積電', '友達', '台勝科', '日月光投控', '昇陽半導體']","['志聖', '均華', '昇陽半導體']",['志聖'],[]
6234,高僑(6234),[],"['1585鎧鉅', '盟立', '陽程', '均豪', '凱崴', '廣運', '尖點']","['京東方Ａ', '台積電', '敬鵬', '友達', '欣興', '健鼎', '群創', '元翎', '泰鼎-KY', '霖宏', '環球晶']",[],[],[]
8064,東捷(8064),[],"['4537旭東', 'HANSONG NEOTECH', '盟立', '由田', '晶彩科', '廣運']",['群創'],[],['東台'],['東台']
8455,大拓-KY(8455),"['Kanetsu Co., Ltd.', 'Kuramo Electric Co., LTD', 'Sharp Manufacturing Systems Corp.', 'Nippon Chemi-Con']","['士電', '東元', '所羅門', '敦吉', '盟立', '廣運', '和椿', '羅昇']","['AICHI ELECTRIC Co.,Ltd.(日)', 'Okuma', 'Toyota Industries', 'Sintokogio', 'FANUC', 'AISIN']",['尚茂'],[],[]
1216,統一(1216),"['三福產業', '6925意藍', '中亞股份', '華研精機', '紫江企業', '大成', '大統益', '德麥', '景岳', '彬台', '環泰', '金雨', '泰博', '誠泰科技', '廣運', '達邦蛋白', '萬年清', '旭源', '大華', '統一實', '宏全']","['Flavor Field', '一之軒', '小美', '山崎', '台灣大食品', '光泉', '米哥', '奇美食品', '岩島成', '東客', '金礦', '金蘭', '哈肯鋪', '桂冠食品', '留乃堂', '國興', '幾分甜', '順成', '萬家香', '聖瑪莉', '農生', '福樂', '麵包物語', '麵包空間', '麥肯龍鳳', 'MEIJI Holdings', '白蘭氏', '味丹', '康寶', '烹大師', '萊萃美', '義美食品', '維力食品', '龜甲萬', '1260富味鄉', '1271晨暉生技', '康師傅控股', 'Kirin Holdings', 'Coca-Cola', 'PepsiCo', '味全', '味王', '大成', '大飲', '卜蜂', '愛之味', '泰山', '福壽', '台榮', '福懋油', '佳格', '聯華', '大統益', '黑松', '興泰', '茂生農經', '德麥', '南僑', '葡萄王', '臺鹽', '美食-KY', '農林', '佰研', '合一', '德記', '富裔', '康師傅-DR']","['統一超', '全家']","['大統益', '葡萄王', '神隆', '太子', '統一證', '統一超', '德記', '統一實']",[],"['葡萄王', '德記']"
