headline,author,time,content
盤中速報 - 均豪(5443)急拉2.65%報29.05元，成交306張,鉅亨網新聞中心,2023-01-11T01:38:25.000Z,"均豪(5443-TW)近5分K漲速2.65%，11日09:38報29.05元，成交306張。（註：漲跌速為5分K的漲跌幅）
均豪(5443-TW)近5日股價上漲1.07%，所屬產業為光電業，相關光電類指數上漲1.41%。櫃買指數上漲3.02%，短期股價無明顯表現。
近5日籌碼
三大法人合計買賣超：-2 張
外資買賣超：+2 張
投信買賣超：0 張
自營商買賣超：-4 張
融資增減：-53 張
融券增減：-3 張
最新相關新聞
盤中速報 - 均豪(5443)股價拉至漲停，漲停價30.65元，成交3,050張
盤中速報 - 均豪(5443)股價大漲至29.9元，漲幅達7.17%
盤中速報 - 均豪(5443)急拉2.14%報28.8元，成交139張
盤中速報 - 均豪(5443)急拉2.1%報29.0元，成交923張
盤中速報 - 均豪(5443)急拉2.01%報27.9元，成交158張
更多鉅亨報導"
產品組合優化 均豪去年獲利年增6成 每股賺2.45元衝新高,鉅亨網記者魏志豪 台北,2023-01-11T09:40:27.000Z,"設備廠均豪 (5443-TW) 今 (11) 日公告去年第四季自結，稅後純益 0.22 億元，季減 86.42%，年增 340%，每股稅後純益 0.13 元，累計全年稅後純益達 3.96 億元，年增 60.98%，每股稅後純益 2.45 元；隨著半導體設備出貨比重增加、產品組合優化，帶動均豪去年全年獲利大增 6 成，一舉創下歷史新高。
均豪近年積極調配產品組合，自過往的面板產業轉往半導體產業發展，目前已開發出半導體研磨製程設備、自動光學檢測 AOI 設備及智慧物流解決方案，都已開始供應給客戶，有效降低對面板產業的依賴。
此外，均豪除優化自家產品結構，旗下均華 (6640-TW) 去年也在半導體設備出貨增加下，獲利同樣大增，帶動均豪去年營收雖然較前年衰退 1.61%，下滑至約 47.34 億元，不過獲利仍呈現大幅成長、並締造新猷。
均豪看好，儘管今年面板業績持續降溫，但半導體產業發展趨勢不變，相關營收可望補上缺口，全年營收有機會持平去年，且在產品組合不斷優化下，獲利也可望更向上成長。
更多鉅亨報導•均豪上半年EPS 1.33元 創四年同期新高•均豪明年半導體營收比重拚過半 產品組合再優化"
【公告】均豪董事會決議召開民國112年股東常會召集事由,中央社,2023-02-22T08:23:01.000Z,"日 期：2023年02月22日
公司名稱：均豪 (5443)
主 旨：均豪董事會決議召開民國一百一十二年股東常會召集事由
發言人：李素珍
說 明：
1.董事會決議日期:112/02/22
2.股東會召開日期:112/06/19
3.股東會召開地點:新竹科學園區工業東二路1號愛因斯坦廳（科技生活館集思會議中心）
4.股東會召開方式(實體股東會/視訊輔助股東會/視訊股東會，
請擇一輸入):實體股東會
5.召集事由一、報告事項:
(1)民國一百一十一年度營業報告
(2)民國一百一十一年度審計委員會查核報告
(3)民國一百一十一年度員工酬勞及董事酬勞分派情形報告
(4)民國一百一十一年度現金股息及紅利分派情形報告
(5)修正本公司「公司治理實務守則」報告
6.召集事由二、承認事項:
(1)民國一百一十一年度營業報告書及財務報表案
(2)民國一百一十一年度盈餘分派議案
7.召集事由三、討論事項:
(1)修正本公司「公司章程」案
8.召集事由四、選舉事項:
(1)選舉本公司第十六屆董事案
9.召集事由五、其他議案:
(1)解除本公司新任董事及其代表人之競業限制案
10.召集事由六、臨時動議:無
11.停止過戶起始日期:112/04/21
12.停止過戶截止日期:112/06/19
13.其他應敘明事項:無"
【公告】均豪董事會通過取得志聖工業股份有限公司股票,中央社,2023-02-22T08:21:46.000Z,"日 期：2023年02月22日
公司名稱：均豪 (5443)
主 旨：均豪董事會通過取得志聖工業股份有限公司股票
發言人：李素珍
說 明：
1.證券名稱:
志聖工業股份有限公司普通股
2.交易日期:111/6/8~112/2/22
3.交易數量、每單位價格及交易總金額:
111/06/21~111/10/27實際取得股數4,500仟股、平均每股44.24元、
交易總金額新台幣199,091仟元。
本次董事會預計取得不超過5,000仟股、平均每股55元以內、
預計交易總金額以不超過新台幣275,000仟元為限。
4.處分利益（或損失）（取得有價證券者不適用）:
不適用。
5.與交易標的公司之關係:
本公司之法人董事。
6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
累積持有本交易證券(含本次交易)之數量：預計19,957仟股、
金額：預計新台幣950,645仟元、
持股比例：預計約12.73%
7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投
資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例
暨最近期財務報表中營運資金數額:
占公司最近期財務報表中總資產之比例：12.04%、
占公司最近期財務報表中歸屬於母公司業主之權益之比例：35.98%、
最近期財務報表中營運資金數額：新台幣1,729,114仟元
8.取得或處分之具體目的:
加強與志聖工業之合作關係，提升整體營運績效。
9.本次交易表示異議董事之意見:
無。
10.本次交易為關係人交易:
否
11.交易相對人及其與公司之關係:
本公司之法人董事。
12.董事會通過日期:
民國112年02月22日
13.監察人承認或審計委員會同意日期:
民國112年02月22日
14.其他敘明事項:
無。"
均豪斥資3.07億元增持志聖股票 加強合作關係,中央社,2023-05-22T10:03:01.000Z,"（中央社記者張建中新竹2023年5月22日電）設備廠均豪 (5443) 斥資新台幣3.07億元，取得6736張志聖 (2467) 股票，加強與志聖的合作關係。
均豪今天公告，自去年6月21日至今，共計取得6736張志聖股票，平均每股45.71元，交易總金額3.07億元。扣除去年6月21日至10月27日已取得4500張志聖股票；均豪自去年10月28日至今共取得2236張志聖股票。
為加強與志聖的合作關係，提升整體營運績效，均豪董事會2月決議通過取得不超過5000張志聖股票，平均每股55元以內，交易總金額以不超過2.75億元為限。
均豪目前累計持有1萬7193張志聖股票，持股比重約10.97%，依均豪董事會規劃，後續尚可加碼2764張志聖股票。"
盤中速報 - 均豪(5443)股價大漲至30.85元，漲幅達7.12%,鉅亨網新聞中心,2023-05-26T01:24:44.000Z,"均豪(5443-TW)26日09:24股價上漲2.05元，報30.85元，漲幅7.12%，成交652張。
均豪(5443-TW)所屬產業為光電業，主要業務為顯示器製程設備與智動化整合系統之設計製造買賣業務。半導體製程暨檢測設備之設計製造買賣業務。自動光學檢測設備之設計製造買賣業務。
近5日股價上漲2.13%，櫃買指數上漲1.06%，股價漲幅表現優於大盤。
近5日籌碼
三大法人合計買賣超：+61 張
外資買賣超：+61 張
投信買賣超：0 張
自營商買賣超：0 張
融資增減：-42 張
融券增減：-7 張
最新相關新聞
盤中速報 - 均豪(5443)急拉2.38%報30.5元，成交564張
盤中速報 - 均豪(5443)急拉3.49%報31.15元，成交354張
均豪:依證交法第43條之1第1項規定公告
均豪:公告本公司取得志聖工業股份有限公司股票
均豪4月營收2.19億元年減37.79% 1—4月達9.57億元
更多鉅亨報導"
盤後速報 - 均豪(5443)下週(6月20日)除息1.8元，預估參考價30.15元,鉅亨網新聞中心,2023-06-13T09:05:55.000Z,"均豪(5443-TW)下週(6月20日)將進行除息交易，其中每股配發現金股利1.8元。
以今日(6月13日)收盤價31.95元計算，預估參考價為30.15元，息值合計為1.8元，股息殖利率5.63%。（註：預估參考價等資訊，皆以(6月13日)收盤價做計算，僅提供參考）
均豪(5443-TW)所屬產業為光電業，主要業務為顯示器製程設備與智動化整合系統之設計製造買賣業務。半導體製程暨檢測設備之設計製造買賣業務。自動光學檢測設備之設計製造買賣業務。近5日股價上漲2.26%，櫃買指數上漲0.47%，股價漲幅表現優於大盤。
歷史股利發放
除權息前股價
現金股利 (元/股)
現金殖利率
股票股利 (元/百股)
2023/06/20
31.95
1.8
5.63%
0.0
2022/07/26
26.9
1.5
5.58%
0.0
2021/07/27
42.8
1.0
2.34%
0.0
2020/07/24
22.4
1.5566
6.95%
0.0
2019/07/26
21.5
1.3
6.05%
0.0
最新相關新聞
〈熱門股〉先進封裝議題燒 辛耘周漲34%寫新天價
盤中速報 - 均豪(5443)急拉2.14%報33.4元，成交324張
盤中速報 - 均豪(5443)急拉3.85%報33.75元，成交2,780張
盤中速報 - 均豪(5443)股價大漲至33.4元，漲幅達7.05%
盤中速報 - 均豪(5443)急拉5.23%報32.25元，成交937張
更多鉅亨報導"
均豪下半年營運好轉 旗下均華急出貨,鉅亨網記者魏志豪 新竹,2023-06-19T06:15:25.000Z,"設備廠均豪 (5443-TW) 今 (19) 日舉辦股東會，董事長陳政興表示，MicroLED 設備已出貨給客戶，加上半導體、面板客戶庫存去化已告一段落，對設備業有正向助益，下半年營運好轉，此外，旗下均華 (6640-TW) 原先即為台積電先進封裝供應商，近期也感受客戶拉貨力道升溫。
友達 (2409-TW) 預告下半年將量產 MicroLED 顯示器，陳政興指出，台灣面板廠積極往次世代顯示器 MicroLED 發展，均豪設備也已導入客戶產線，儘管今年仍為量產元年，但未來客戶將擴大產量、設法降低成本，也帶動設備需求。
均豪目前在 MicroLED 領域布局超過 5 項設備，涵蓋 TFT 背板、晶圓製程製程設備，其中，晶圓製程先前已佈局半導體用的光學檢測 AOI 設備，現則進一步導入 MicroLED，且由於晶粒在巨量移轉前後都需要進行 AOI 檢測，均豪可滿足客戶需求。
先進封裝方面，均豪因持有均華股權 57%，也認列其營收，隨著均華晶片挑選機 (Chip Sorter) 通吃客戶的 InFO、CoWoS 先進封裝製程，在客戶宣布擴產下，均華也感受客戶拉貨力道。
此外，客戶自去年起也因後段產能受限，將 oS 製程外包給日月光投控 (3711-TW) 等封裝廠，均豪長期深耕封裝廠，也可望同步受惠。
更多鉅亨報導•產品組合優化 均豪去年獲利年增6成 每股賺2.45元衝新高"
【公告】均豪112年度股東常會重要決議事項,中央社,2023-06-19T07:34:26.000Z,"日 期：2023年06月19日
公司名稱：均豪 (5443)
主 旨：均豪112年度股東常會重要決議事項
發言人：李素珍
說 明：
1.股東常會日期:112/06/19
2.重要決議事項一、盈餘分配或盈虧撥補:通過承認民國一百一十一年度盈餘分派議案
3.重要決議事項二、章程修訂:通過本公司章程修正案
4.重要決議事項三、營業報告書及財務報表:通過承認一百一十一年度營業報告書及
財務報表
5.重要決議事項四、董監事選舉:選任本公司第16屆董事7席(含獨立董事4席)
董事及獨立董事當選人:
董事：駿朋投資股份有限公司 法人代表：陳政興
董事：志聖工業股份有限公司 法人代表：梁又文
董事：許鴻銘
獨立董事：馬堅勇
獨立董事：曾國華
獨立董事：羅偉
獨立董事：陳依梅
6.重要決議事項五、其他事項:
(一)、通過解除本公司新任董事及其代表人之競業限制案
7.其他應敘明事項:無"
【公告】均豪第十六屆新任董事推選董事長,中央社,2023-06-19T07:43:19.000Z,"日 期：2023年06月19日
公司名稱：均豪 (5443)
主 旨：均豪第十六屆新任董事推選董事長
發言人：李素珍
說 明：
1.董事會決議日期或發生變動日期:112/06/19
2.人員別（請輸入董事長或總經理）:董事長
3.舊任者姓名:陳政興
4.舊任者簡歷:均豪精密工業(股)公司董事長
5.新任者姓名:陳政興
6.新任者簡歷:均豪精密工業(股)公司董事長
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「職務調整」、「資遣」、
「退休」、「逝世」或「新任」）:任期屆滿
8.異動原因:任期屆滿
9.新任生效日期:112/06/19
10.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第6款所定
對股東權益或證券價格有重大影響之事項):無"
